CustomerID,Gender,Age,Tenure,SubscriptionType,ContractType,MonthlyCharges,TotalCharges,PaymentMethod,LoginFrequency,SupportTickets,LastActiveDate,Churn
CUST101577,Female,64,55,Premium,Month-to-month,110.04,6067.58,E-check,15,1.0,2026-06-22,No
CUST100140,Female,74,19,Basic,Two year,20.5,376.18,E-check,17,1.0,2026-07-01,No
CUST100110,Female,61,60,Basic,Month-to-month,19.4,1168.89,E-check,9,1.0,2026-05-22,Yes
CUST100259,Male,33,62,Basic,Month-to-month,26.72,1671.46,Bank transfer,11,0.0,2026-07-31,No
CUST101391,Female,27,61,Basic,One year,34.24,2064.51,Credit card,10,0.0,2026-05-19,No
CUST101744,Female,22,12,Premium,One year,100.01,1229.64,Bank transfer,12,1.0,2026-07-29,No
CUST100514,Female,56,65,Premium,Month-to-month,88.93,5780.02,Bank transfer,11,2.0,2026-07-23,No
CUST101517,Male,49,10,Basic,One year,26.49,293.46,Bank transfer,14,1.0,2026-07-26,No
CUST101386,Male,18,15,Standard,Month-to-month,58.55,899.35,E-check,15,0.0,2026-07-10,No
CUST101058,Female,41,2,Premium,Month-to-month,85.22,211.18,Credit card,12,0.0,2026-07-19,No
CUST101921,Male,43,61,Basic,Two year,22.6,1369.9,Mailed check,8,3.0,2026-07-28,No
CUST101736,Male,68,38,Basic,One year,27.67,1010.44,E-check,14,1.0,2026-07-10,No
CUST100471,Female,48,7,Standard,Month-to-month,43.78,308.15,Credit card,12,0.0,2026-07-31,Yes
CUST101273,Male,19,32,Standard,Month-to-month,52.09,1675.99,E-check,14,2.0,2026-07-28,No
CUST101926,Male,20,16,Premium,Two year,91.09,1472.78,Mailed check,7,2.0,2026-07-26,No
CUST101544,Female,46,58,Standard,Month-to-month,55.01,3150.43,Bank transfer,6,0.0,2026-07-26,Yes
CUST101089,Female,38,28,Standard,Month-to-month,48.05,1323.15,Mailed check,18,1.0,2026-07-15,Yes
CUST101354,Female,53,39,Basic,Month-to-month,27.99,1079.04,E-check,7,3.0,2026-07-17,Yes
CUST100358,Male,23,29,Basic,Two year,35.6,1026.29,E-check,9,4.0,2026-06-08,No
CUST101327,Male,39,14,Premium,Month-to-month,99.72,1381.71,Mailed check,7,0.0,2026-07-22,Yes
CUST100196,Female,55,48,Basic,Month-to-month,41.7,1975.72,E-check,16,1.0,2026-07-21,Yes
CUST101856,Male,39,65,Basic,Month-to-month,29.41,1919.57,Mailed check,13,3.0,2026-04-20,Yes
CUST101691,Female,72,52,Premium,Month-to-month,94.59,4924.72,Credit card,13,0.0,2026-07-30,Yes
CUST100610,Male,61,24,Standard,Month-to-month,54.65,1308.85,E-check,11,2.0,2026-07-04,No
CUST100361,Male,49,41,Standard,Month-to-month,38.5,1570.48,Mailed check,9,1.0,2026-05-17,Yes
CUST100002,Male,33,62,Basic,Two year,32.96,2037.86,Credit card,15,6.0,2026-07-25,No
CUST100666,Female,56,2,Standard,Month-to-month,60.59,136.67,Credit card,5,1.0,2026-07-15,No
CUST100527,Female,57,64,Basic,Month-to-month,29.71,1908.18,Credit card,10,0.0,2026-07-31,No
CUST101117,Male,46,5,Premium,Month-to-month,88.55,454.25,E-check,11,2.0,2026-06-20,Yes
CUST100702,Male,29,71,Standard,Month-to-month,54.84,3883.14,Credit card,9,0.0,2026-07-10,No
CUST100602,Female,47,20,Standard,Month-to-month,62.61,1282.14,E-check,10,2.0,2026-07-27,No
CUST100658,Female,71,12,Basic,One year,23.06,287.98,Mailed check,16,3.0,2026-08-01,No
CUST101917,Female,44,20,Premium,Month-to-month,81.0,1644.95,Credit card,19,1.0,2026-07-22,No
CUST101824,Male,24,8,Basic,Month-to-month,18.77,128.72,Mailed check,21,1.0,2026-07-28,No
CUST100762,Male,67,2,Basic,Two year,17.18,14.11,Bank transfer,6,2.0,2026-07-25,No
CUST100374,Male,58,48,Standard,Month-to-month,52.31,2503.69,Credit card,18,1.0,2026-07-12,No
